Selling Report jan/21/2026,,,,,Total,Rp 416.500
№,Date,Time,Username,Profile,Comment,Price
1,jan/21/2026,00:06:48,923725735,7jam,vc-148-01.15.26-15012026,1700
2,jan/21/2026,00:17:03,MA692857,7jam,vc-866-01.15.26-15012026,1700
3,jan/21/2026,00:41:43,3326554,7jam,vc-561-01.05.26-06122025,1700
4,jan/21/2026,01:15:22,TH634453,7jam,vc-957-01.20.26-20012026mangade,1700
5,jan/21/2026,01:45:39,963497892,7jam,vc-148-01.15.26-15012026,1700
6,jan/21/2026,01:48:02,MA238229,7jam,vc-866-01.15.26-15012026,1700
7,jan/21/2026,03:01:21,TG565744,7jam,vc-628-01.12.26-12012026mangade,1700
8,jan/21/2026,03:05:31,TG398929,7jam,vc-901-01.12.26-12012026,1700
9,jan/21/2026,03:27:51,LT786339,7jam,vc-416-01.11.26-11012025cbs,1700
10,jan/21/2026,03:45:20,TG253646,7jam,vc-628-01.12.26-12012026mangade,1700
11,jan/21/2026,04:26:56,LT727444,7jam,vc-416-01.11.26-11012025cbs,1700
12,jan/21/2026,04:39:31,TG854938,7jam,vc-901-01.12.26-12012026,1700
13,jan/21/2026,05:03:09,TG238963,7jam,vc-628-01.12.26-12012026mangade,1700
14,jan/21/2026,05:37:04,TG374687,7jam,vc-628-01.12.26-12012026mangade,1700
15,jan/21/2026,05:38:55,MB254638,7jam,vc-634-01.18.26-18012026cbs,1700
16,jan/21/2026,05:44:35,TG562968,7jam,vc-628-01.12.26-12012026mangade,1700
17,jan/21/2026,05:56:08,TG546967,7jam,vc-628-01.12.26-12012026mangade,1700
18,jan/21/2026,06:04:44,MA273982,7jam,vc-866-01.15.26-15012026,1700
19,jan/21/2026,06:05:35,TG358733,7jam,vc-901-01.12.26-12012026,1700
20,jan/21/2026,06:09:15,TF338493,7jam,vc-200-01.05.26-05122025mangade,1700
21,jan/21/2026,06:11:59,MA644762,7jam,vc-866-01.15.26-15012026,1700
22,jan/21/2026,06:20:14,TG278725,7jam,vc-901-01.12.26-12012026,1700
23,jan/21/2026,06:25:13,MB883653,7jam,vc-264-01.18.26-18012026,1700
24,jan/21/2026,06:25:46,MB574998,7jam,vc-634-01.18.26-18012026cbs,1700
25,jan/21/2026,06:31:34,MB456697,7jam,vc-264-01.18.26-18012026,1700
26,jan/21/2026,06:32:15,LT397435,7jam,vc-416-01.11.26-11012025cbs,1700
27,jan/21/2026,06:33:55,LT733387,7jam,vc-651-01.11.26-11012025,1700
28,jan/21/2026,06:40:38,MA846967,7jam,vc-866-01.15.26-15012026,1700
29,jan/21/2026,06:45:54,MB844424,7jam,vc-634-01.18.26-18012026cbs,1700
30,jan/21/2026,06:50:23,MA896834,7jam,vc-866-01.15.26-15012026,1700
31,jan/21/2026,06:51:50,TG298284,7jam,vc-901-01.12.26-12012026,1700
32,jan/21/2026,06:53:23,MA765645,7jam,vc-866-01.15.26-15012026,1700
33,jan/21/2026,06:55:36,934863344,7jam,vc-148-01.15.26-15012026,1700
34,jan/21/2026,07:14:43,TG425345,7jam,vc-901-01.12.26-12012026,1700
35,jan/21/2026,07:25:02,946754267,7jam,vc-148-01.15.26-15012026,1700
36,jan/21/2026,07:25:11,TG587925,7jam,vc-901-01.12.26-12012026,1700
37,jan/21/2026,07:25:26,LT378659,7jam,vc-416-01.11.26-11012025cbs,1700
38,jan/21/2026,07:27:55,TG664435,7jam,vc-901-01.12.26-12012026,1700
39,jan/21/2026,07:31:29,3573429,7jam,vc-561-01.05.26-06122025,1700
40,jan/21/2026,07:33:08,TG625824,7jam,vc-628-01.12.26-12012026mangade,1700
41,jan/21/2026,07:36:27,TG224253,7jam,vc-628-01.12.26-12012026mangade,1700
42,jan/21/2026,07:43:10,TG245775,7jam,vc-901-01.12.26-12012026,1700
43,jan/21/2026,07:47:40,MA484377,7jam,vc-866-01.15.26-15012026,1700
44,jan/21/2026,07:52:32,TG329836,7jam,vc-628-01.12.26-12012026mangade,1700
45,jan/21/2026,07:54:18,TB868926,7jam,vc-181-12.17.25-17122025,1700
46,jan/21/2026,07:57:10,TG357264,7jam,vc-901-01.12.26-12012026,1700
47,jan/21/2026,07:57:25,3743698,7jam,vc-561-01.05.26-06122025,1700
48,jan/21/2026,08:02:49,974755455,7jam,vc-148-01.15.26-15012026,1700
49,jan/21/2026,08:04:08,958323244,7jam,vc-148-01.15.26-15012026,1700
50,jan/21/2026,08:08:05,TG775626,7jam,vc-628-01.12.26-12012026mangade,1700
51,jan/21/2026,08:09:00,TG778292,7jam,vc-901-01.12.26-12012026,1700
52,jan/21/2026,08:13:11,3247936,7jam,vc-561-01.05.26-06122025,1700
53,jan/21/2026,08:17:05,TG393873,7jam,vc-901-01.12.26-12012026,1700
54,jan/21/2026,08:24:29,962738998,7jam,vc-148-01.15.26-15012026,1700
55,jan/21/2026,08:26:07,TG934995,7jam,vc-628-01.12.26-12012026mangade,1700
56,jan/21/2026,08:27:04,996596883,7jam,vc-148-01.15.26-15012026,1700
57,jan/21/2026,08:28:46,MA854957,7jam,vc-866-01.15.26-15012026,1700
58,jan/21/2026,08:31:15,TG282667,7jam,vc-628-01.12.26-12012026mangade,1700
59,jan/21/2026,08:44:07,TG484539,7jam,vc-628-01.12.26-12012026mangade,1700
60,jan/21/2026,08:44:18,MA462843,7jam,vc-866-01.15.26-15012026,1700
61,jan/21/2026,08:53:59,MB883567,7jam,vc-634-01.18.26-18012026cbs,1700
62,jan/21/2026,08:57:34,3443448,7jam,vc-561-01.05.26-06122025,1700
63,jan/21/2026,09:07:08,TG393332,7jam,vc-628-01.12.26-12012026mangade,1700
64,jan/21/2026,09:13:17,TH774737,7jam,vc-957-01.20.26-20012026mangade,1700
65,jan/21/2026,09:14:50,MA742238,7jam,vc-866-01.15.26-15012026,1700
66,jan/21/2026,09:18:00,TF848742,7jam,vc-200-01.05.26-05122025mangade,1700
67,jan/21/2026,09:18:30,929897999,7jam,vc-148-01.15.26-15012026,1700
68,jan/21/2026,09:34:31,MB397788,7jam,vc-634-01.18.26-18012026cbs,1700
69,jan/21/2026,09:37:19,MB223262,7jam,vc-634-01.18.26-18012026cbs,1700
70,jan/21/2026,09:39:59,3889965,7jam,vc-561-01.05.26-06122025,1700
71,jan/21/2026,09:43:58,998252964,7jam,vc-148-01.15.26-15012026,1700
72,jan/21/2026,09:53:23,TG257288,7jam,vc-628-01.12.26-12012026mangade,1700
73,jan/21/2026,09:57:53,TG284434,7jam,vc-628-01.12.26-12012026mangade,1700
74,jan/21/2026,10:00:04,TG899593,7jam,vc-628-01.12.26-12012026mangade,1700
75,jan/21/2026,10:01:11,TG892967,7jam,vc-628-01.12.26-12012026mangade,1700
76,jan/21/2026,10:03:54,TG938539,7jam,vc-901-01.12.26-12012026,1700
77,jan/21/2026,10:06:40,TG826248,7jam,vc-628-01.12.26-12012026mangade,1700
78,jan/21/2026,10:20:51,TG374239,7jam,vc-901-01.12.26-12012026,1700
79,jan/21/2026,10:27:46,0487573,7jam,vc-840-01.01.26-01012026,1700
80,jan/21/2026,10:32:45,TG978255,7jam,vc-628-01.12.26-12012026mangade,1700
81,jan/21/2026,10:44:25,TG768432,7jam,vc-628-01.12.26-12012026mangade,1700
82,jan/21/2026,10:47:18,TG854338,7jam,vc-628-01.12.26-12012026mangade,1700
83,jan/21/2026,10:51:50,993883347,7jam,vc-148-01.15.26-15012026,1700
84,jan/21/2026,10:52:22,3377762,7jam,vc-561-01.05.26-06122025,1700
85,jan/21/2026,10:56:01,LT998286,7jam,vc-416-01.11.26-11012025cbs,1700
86,jan/21/2026,11:01:02,MB675556,7jam,vc-634-01.18.26-18012026cbs,1700
87,jan/21/2026,11:13:21,TG358386,7jam,vc-901-01.12.26-12012026,1700
88,jan/21/2026,11:14:31,MB493289,7jam,vc-264-01.18.26-18012026,1700
89,jan/21/2026,11:14:54,956896596,7jam,vc-148-01.15.26-15012026,1700
90,jan/21/2026,11:21:20,LT766966,7jam,vc-651-01.11.26-11012025,1700
91,jan/21/2026,11:24:52,TG569567,7jam,vc-628-01.12.26-12012026mangade,1700
92,jan/21/2026,11:26:15,MA575389,7jam,vc-866-01.15.26-15012026,1700
93,jan/21/2026,11:36:48,TG224859,7jam,vc-901-01.12.26-12012026,1700
94,jan/21/2026,11:40:42,MB844584,7jam,vc-264-01.18.26-18012026,1700
95,jan/21/2026,11:45:11,LT736548,7jam,vc-416-01.11.26-11012025cbs,1700
96,jan/21/2026,11:47:45,MA65396572,7jam,vc-453-01.15.26-15012026,1700
97,jan/21/2026,11:49:50,MB699895,7jam,vc-634-01.18.26-18012026cbs,1700
98,jan/21/2026,12:03:17,MB958682,7jam,vc-264-01.18.26-18012026,1700
99,jan/21/2026,12:07:16,MB884447,7jam,vc-634-01.18.26-18012026cbs,1700
100,jan/21/2026,12:07:22,MA75829722,7jam,vc-453-01.15.26-15012026,1700
101,jan/21/2026,12:09:25,TG743993,7jam,vc-901-01.12.26-12012026,1700
102,jan/21/2026,12:12:50,TG952232,7jam,vc-628-01.12.26-12012026mangade,1700
103,jan/21/2026,12:18:06,TG595475,7jam,vc-628-01.12.26-12012026mangade,1700
104,jan/21/2026,12:23:32,MA82497294,7jam,vc-453-01.15.26-15012026,1700
105,jan/21/2026,12:29:11,TH672344,7jam,vc-419-01.20.26-20012026,1700
106,jan/21/2026,12:30:41,LR932879,7jam,vc-668-01.07.26-07012025,1700
107,jan/21/2026,12:32:02,MB482942,7jam,vc-264-01.18.26-18012026,1700
108,jan/21/2026,12:38:14,TG833759,7jam,vc-628-01.12.26-12012026mangade,1700
109,jan/21/2026,12:39:09,TG477893,7jam,vc-628-01.12.26-12012026mangade,1700
110,jan/21/2026,12:39:43,TG257448,7jam,vc-628-01.12.26-12012026mangade,1700
111,jan/21/2026,12:40:50,MB733523,7jam,vc-264-01.18.26-18012026,1700
112,jan/21/2026,12:41:45,MA86483698,7jam,vc-453-01.15.26-15012026,1700
113,jan/21/2026,12:48:30,TG689943,7jam,vc-628-01.12.26-12012026mangade,1700
114,jan/21/2026,12:49:53,MB279333,7jam,vc-634-01.18.26-18012026cbs,1700
